movie_id,title,rating_count_total,avg_rating_total
318,The Shawshank Redemption,63366,4.446990499637029
858,The Godfather,41355,4.364732196832306
50,The Usual Suspects,47006,4.334372207803259
527,Schindler's List,50054,4.310175010988133
1221,The Godfather: Part II,27398,4.275640557704942
2019,Seven Samurai,11611,4.2741796572216
904,Rear Window,17449,4.271333600779414
912,Casablanca,24349,4.258326830670664
922,Sunset Boulevard,6525,4.256934865900383
1193,One Flew Over the Cuckoo's Nest,29932,4.24807897901911
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,23220,4.247286821705426
1212,The Third Man,6565,4.246001523229246
6016,City of God,12937,4.235410064157069
44555,The Lives of Others,5720,4.2347902097902095
908,North by Northwest,15627,4.233538107122288
1178,Paths of Glory,3568,4.2326233183856505
2959,Fight Club,40106,4.227123123722136
3435,Double Indemnity,4909,4.224281931146873
1203,12 Angry Men,12934,4.224137931034483
58559,The Dark Knight,20438,4.220129171151776
