movie_id,title,rating_count_total,avg_rating_total
296,Pulp Fiction,67310,4.174231169217055
356,Forrest Gump,66172,4.029000181345584
318,The Shawshank Redemption,63366,4.446990499637029
593,The Silence of the Lambs,63299,4.17705650958151
480,Jurassic Park,59715,3.6647408523821485
260,Star Wars,54502,4.190671901948552
110,Braveheart,53769,4.042533802004873
589,Terminator 2: Judgment Day,52244,3.9319539085828037
2571,The Matrix,51334,4.187185880702848
527,Schindler's List,50054,4.310175010988133
1,Toy Story,49695,3.921239561324077
457,The Fugitive,49581,3.9856900828946573
150,Apollo 13,47777,3.86859786089541
780,Independence Day,47048,3.370961571161367
50,The Usual Suspects,47006,4.334372207803259
1210,Return of the Jedi,46839,4.004622216528961
592,Batman,46054,3.4023646154514267
1196,The Empire Strikes Back,45313,4.188202061218635
2858,American Beauty,44987,4.155933936470536
32,Twelve Monkeys,44980,3.8980546909737663
